block_off	str_off	speaker	text	english
0x235d2	0xcc	カル伯爵	到底、徒歩で行ける所ではない。\n強力な結界が張られている。\n瞬間移動の魔法でも、送り側からのサポートが必要だ。\nカル伯爵\nセスよ。\n瞬間移動の魔法は使えたのだったな。	It is far beyond reach on foot.\nA powerful barrier surrounds it.\nEven teleport magic needs support\nfrom the sending side.\n\p{COUNT CAL}\n{SETH}.\nYou could use teleport magic, yes?
0x235d2	0x172	セス	はい。\n長距離移動も可能です。	Yes.\nLong-range jumps are possible too.
0x235d2	0x196	カル伯爵	よし。\n問題は、無いな。	Good.\nThen there is no problem.
0x235d2	0x1bf	ウォーリック	では、一刻も早く行きます。\nブラフォードが心配だ。	Then we leave at once.\nI fear for Blaford.
0x235d2	0x1eb	カル伯爵	そうだな。\n一刻も早く、ブラフォードに合流するのだ。\nしかし、焦りは禁物だぞ。	Yes.\nJoin up with Blaford as soon as you\ncan. But do not let haste undo you.
0x235d2	0x232	カル伯爵	準備はいいか？	Are you ready?
0x235d2	0x24a		ちょっと待って。\n準備は出来ている。	Wait a moment.\nWe are ready.
0x235d2	0x27b	カル伯爵	向こうは魔神軍の本拠地だからな。\n慎重に行動した方がいい。\n早く装備を整えて来なさい。	That is the {DEMON GOD} army's\nstronghold. Tread carefully.\nGo and ready your gear first.
0x235d2	0x2f5	カル伯爵	では、始めよう。\nカル伯爵\nセスよ。\n私が結界に裂け目を造り、その座標まで誘導しよう。\nお前は、移動中の制御だけでいい。	Then let us begin.\n\p{COUNT CAL}\n{SETH}.\nI will tear a rift in the barrier and\nguide you to the coordinates.\nYou need only steer in transit.
0x235d2	0x39b	カル伯爵	我が主よ。\n願わくば、若き守護騎士達に勝利をもたらしたまえ。\n闇を砕く、強い炎の加護を・・・。	My lord.\nI pray you grant these young guardian\nknights their victory.\nThe blessing of a strong flame to\nbreak the dark...
0x235d2	0x43b	マージス	・・・行ったか。	...So they've gone.
0x235d2	0x46f	マージス	それにしても、皆、若いな。	Still, every one of them so young.
0x235d2	0x48d	カル伯爵	そうだな。\n故に、彼等を失うわけにはいかない。今は、少しでも多くの戦力が必要なのだ。\nカル伯爵\nその為なら、私の命など安いモノ。	Indeed. Which is why we cannot\nafford to lose them. We need every\nbit of strength we can muster.\p{COUNT CAL}\nFor that, my life is a small price.
0x235d2	0x4f6	マージス	手紙の内容の事だが、本気なのだな、カル。	About what was in your letter...\nyou truly mean it, Cal?
0x235d2	0x526	カル伯爵	・・・本気だ。	...I mean it.
0x235d2	0x574	マージス	・・・３００年前。\nお前と共に、この３鎧７は死んだ。\nマスターを目の前で殺された、お前の使命の喪失と共に、この３鎧７は死んだ。\nマージス\nお前の命と引き替えに、３鎧７を復活させられるのか！？\nわかっているのか、カル。\n３鎧７が蘇る保証は、無いのだぞ。	...Three hundred years ago,\nthe armor died alongside you.\nWith your master slain before your\neyes, and your purpose lost,\nthe armor died.\p{MARGIS}\nAnd now you'd trade your life\nto bring that armor back to life!?\nDo you understand, Cal?\nThere's no guarantee\nthe armor will rise again.
0x235d2	0x62e	カル伯爵	・・・出来る。\n今の私なら、３鎧７を蘇らせる事が出来る。\nカル伯爵\nその力を・・・彼等が蘇らせてくれた。今度は、私が助ける番だ。	...I can do it.\nAs I am now, I can bring\nthe armor back to life.\p{COUNT CAL}\nThat power... they revived in me.\nNow it's my turn to help them.
0x235d2	0x6a4	マージス	・・・わかった。\nお前がそこまで言うのなら、もう何も言うまい。\n後の事は、このマージスが引き受けた。	...I understand.\nIf you say it that plainly,\nI'll say no more.\nLeave the rest to me, Margis.
0x235d2	0x6f6	カル伯爵	すまぬな、マージス。\n・・・・・後は頼む。	Forgive me, Margis.\n{...}..I leave the rest to you.
0x235d2	0x750	カル伯爵	ナッツよ、案ずる事はない。\nこれが、最後の役目だ。\n・・・炎竜の守護騎士としての、最後の役目だ。	Have no fear, {NUTTS}.\nThis is my final duty.\n...My final duty as the fire\ndragon's guardian knight.
0x23b2b	0x13	マージス	実は先日から、フローディーテの森に、微弱だか不吉な魔力が漂っている。\n気を付けるのだよ。\nマージス\nおおっ！？	Of late, a faint but ill-boding magic\nhas drifted through {FRODITE FOREST}.\nTake care.\n{MARGIS}\nWhat...!?
0x23b2b	0x70	ライド	んんっ！？	Hngh...!?
0x23b2b	0xaa	ソウルン	お兄ちゃん達、おじちゃんを殺しに来たんでしょ。\nそんな事、僕がさせないぞっ！\nソウルン\nさっ、おじちゃん。\n僕が助けに来たから、恐がらなくていいよ。おじちゃんは、僕が守る。	You came to kill my uncle, didn't\nyou!\nI won't let you do that!\n{SOULN}\nNow, uncle.\nI've come to save you, so don't be\nafraid. I'll protect you.
0x23b2b	0x120	ライド	・・・ナイスだ、ソウルン。\nもうちょっと早かったら、カッコよかったのになぁ。\nライド\n安心しろ。\n俺達とおじちゃんとは、友達だ。\n戦おうなんて、これっぽっちも考えてないぜ。	...Nice, {SOULN}.\nWould've been cooler a bit sooner,\nthough.\n{RIDE}\nRelax.\nYour uncle and us are friends.\nFighting's the last thing on our\nminds.
0x23b2b	0x19c	ソウルン	・・・ホント？	...Really?
0x23b2b	0x1b5	ライド	ホント、ホント。\nお前のおじちゃんに、聞いてみるといい。	Really, it's true.\nJust ask your uncle yourself.
0x23b2b	0x20e	ソウルン	・・・ホント？	...Really?
0x23b2b	0x22c	マージス	ああ、本当だとも。\n君は、何も心配する事はないんだ。\n彼等は、私の客人だよ。	Yes, it's quite true.\nYou've nothing to worry about.\nThey are my guests.
0x23b2b	0x271	ソウルン	・・・よかった。\nおじちゃんがいなくなったら、僕、さみしいもんね。\n・・・おじちゃん、早く遊ぼっ。	...Good.\nI'd be so lonely if my uncle were\ngone.\n...Uncle, let's go play soon.
0x23b2b	0x2b8	マージス	わかった、わかった。\n今日は、本を読んであげよう。	All right, all right.\nI'll read you a book today.
0x23b2b	0x2f1	ライド	・・・じゃあ、俺達は行くか。	...Well, shall we be off, then?
0x23b2b	0x312	マージス	済まぬな。\nこの通り、私は忙しい。\nマージス\n先ほども言ったが、フローディーテの森では気を付けろ。\n何か、得体の知れぬ者が息を潜めている。	Forgive me.\nAs you see, I am busy.\n{MARGIS}\nAs I said before, take care in\n{FRODITE FOREST}.\nSomething unknown lies in wait there.
0x23b2b	0x3c4	ソウルン	おじちゃんに、本、読んでもらってるんだ。邪魔しないでぇ。	My uncle's reading me a book.\nDon't bother us.
0x23b2b	0x3e9	ソウルン	このお守りがあると、魔物が寄って来ないんだよ。\nいつも持ってなさいって、おじちゃんが言うんだ。	With this charm, monsters won't come\nnear me. My uncle says to always\nkeep it with me.
0x23b2b	0x426	ソウルン	この話、とっても面白いよ。\nお兄ちゃん達も一緒に、このお話聞こうよ。	This story is so much fun.\nCome listen to it with me!
0x23b2b	0x455	ソウルン	おじちゃんに、いろんな事教えてもらうんだ。\nここにいる時が、一番楽しいや。	He teaches me all sorts of things.\nThis is where I'm happiest of all.
0x23b2b	0x485	ソウルン	今度、ドワーフのお友達も一緒に連れて来るんだ。\nおじちゃんも、いいって言ったんだよ。	Next time I'll bring my {DWARF} friend\nalong too. He said it's okay!
0x23b2b	0x4c7	マージス	昔、昔、ある所に、お爺さんとお婆さんがおりました。\nお爺さんは、山に芝刈りに。\nお婆さんは、川に洗濯に・・・。	Long, long ago, there lived\nan old man and an old woman.\nThe old man went to cut grass\nin the hills. The old woman went\nto the river to wash...
0x23b2b	0x525	マージス	上流から大きなピーチが、ドンブラコと流れて来ました。\nなんじゃ、これは！？\nお婆さんは、そのピーチを・・・。	A great big peach came bobbing\ndown from upstream.\nWhat in the world is this!?\nThe old woman took that peach...
0x23b2b	0x587	マージス	ピーチの中には、色白の女の子が入っていました。\nなぁんと、美しい子じゃ！\nお爺さんは、ビックリして・・・。	Inside the peach was a fair-skinned\nlittle girl.\nWhat a beautiful child!\nThe old man was so startled...
0x23b2b	0x5e4	マージス	ムトクと名付けられた女の子は、すくすくと育ちました。\n１８年たったある日、ムトクちゃんは・・・。	The girl, named Mutoku, grew up\nbig and strong.\nOne day, eighteen years on,\nlittle Mutoku...
0x23f92	0x27	ファーニス	ああっ！\n薬草、みぃぃぃつけたっ。	Ooh!\nHerbs, I fou-ou-ound 'em!
0x23f92	0x55	ファーニス	薬草が生えてるよ。\nラッキーだねっ、ウォーリック。	Herbs are growing here.\nLucky us, {WARRICK}!
0x23f92	0x8a	ファーニス	ああっ、ウォーリック。\nそこの木の根本に生えてるの、薬草じゃない？	Hey, {WARRICK}.\nGrowing at the foot of that tree...\naren't those herbs?
0x23f92	0xce	ファーニス	んん？\n薬草の匂いがする。\n・・・・・ほらあった。	Hmm?\nI smell herbs.\n.{...}. There, found 'em.
0x23f92	0x110	ファーニス	ああっ、キノコだ！\nこれって、極楽キノコじゃない？	Ooh, a mushroom!\nIsn't this a paradise mushroom?
0x23f92	0x150	ファーニス	ああっ、極楽キノコだ。\nこんな所に生えてるなんて、珍しいねぇ。	Ooh, a paradise mushroom.\nRare to find one growing\nin a place like this.
0x23f92	0x18f		薬草を採った。	Picked some herbs.
0x23f92	0x1ab		極楽キノコを採った。	Picked a paradise mushroom.
0x23f92	0x208	ファーニス	ああっ！\n薬草が生えてるよ。	Ooh!\nHerbs are growing here.
0x23f92	0x238	ファーニス	そこそこっ！\n木の根本に薬草が生えてるよ。	There, right there!\nHerbs at the foot of the tree.
0x23f92	0x272	ファーニス	んん？\nあそこに生えてるの薬草じゃない。	Hmm?\nAren't those herbs growing over\nthere?
0x23f92	0x2a6	ファーニス	薬草、みぃぃぃつけた。\nファーニス、ラッキー！	Herbs, I fou-ou-ound 'em.\n{FURNIS}'s lucky!
0x23f92	0x2d9	ファーニス	あの木の根本に生えてるの極楽キノコだね。\nラッキー！	Those are nuttsy mushrooms at\nthe base of that tree. Lucky!
0x23f92	0x31e	ファーニス	ああっ！\nキノコだよ、キノコ。\nこんな所に生えてるなんて、珍しいねぇ。	Oh! Mushrooms, mushrooms!\nIt's rare to find them\ngrowing in a place like this.
0x23f92	0x382	ファーニス	ああっ！薬草が生えてる、ラッキー。	Oh! Herbs growing here. Lucky!
0x23f92	0x3b3	ファーニス	そこそこっ！\n木の根本に薬草、みっけっ。	Right there, right there!\nHerbs at the base of the tree.\nFound 'em!
0x23f92	0x3eb	ファーニス	んん？\nあそこに薬草生えているよ。\n採っちゃおぉぉぉっと。	Hmm? Herbs growing over there.\nI'll just pick 'em right up.
0x23f92	0x42b	ファーニス	薬草、みっけたぁ。\nファーニス、ラッキー！	Herbs, I fooound 'em.\n{FURNIS} is lucky!
0x23f92	0x45e	ファーニス	あそこに生えてるの、極楽キノコだね。採っておこっと！	Those growing over there are\nnuttsy mushrooms. I'll grab 'em!
0x23f92	0x49f	ファーニス	ああっ！\nキノコだ。\n一応、採っておこっと。	Oh! Mushrooms.\nMight as well pick 'em.
0x23f92	0x528	レイナ	どこ行くの、ウォーリック。\nセルーシュ王国を出ちゃうわよ。	Where are you going, {WARRICK}?\nYou're about to leave\n{SERUSH KINGDOM}.
0x23f92	0x551	ウォーリック	ああっ。\n早く、キャンプに行かないとな。	Ah. We'd better get to\n{CAMP} quickly.
0x23f92	0x579	ファーニス	そっち行ったらセルーシュ城から離れるよ。\n戻ろうよ。	That way takes us away from\n{SERUSH CASTLE}. Let's go back.
0x23f92	0x5a5	ライド	この辺りは魔物が多いし、早く引き返した方がいいな。	There are lots of monsters\naround here. Best to turn\nback quickly.
0x23f92	0x5d3	ブージ	なぁ、ウォーリック。\nもう少し、調べる必要がありそうだと思わんか。	Hey, {WARRICK}.\nWe ought to look around a bit more,\ndon't you think?
0x23f92	0x612	ブージ	グレーター　デーモンだ。\n・・・やはり、ここに来ていたのか。	A greater {DEMON}.\n...So it really did come here.
0x23f92	0x64f	ウォーリック	３剣７で殺されているぞ。\n誰が倒したんだ？	Killed with a sword.\nWho took it down?
0x23f92	0x67e	ブージ	・・・この傷口。\nデーモンをこんな倒し方するなんて、普通の武器ではないな。	...This wound.\nNo ordinary weapon kills a {DEMON}\nlike this.
0x23f92	0x6bf	ウォーリック	こいつ等の相手側に、かなり強い奴がいるなぁ。\n・・・早く、奥に進もう。	Whoever fought these things is\nawfully strong.\n...Let's press on, fast.
0x23f92	0x70c	ブージ	かなりの数のデーモンが侵入している様だな。	Looks like a fair number of\ndemons have broken in here.
0x23f92	0x734	ウォーリック	この死体、もう凍り付いている。\n凄い冷気だ。	This corpse is already frozen\nsolid. What fearsome cold.
0x23f92	0x769	ブージ	おかしい。\nデーモンに、群を成す習性はないはずだ。	Strange.\nDemons aren't meant to gather\nin packs.
0x23f92	0x797	ウォーリック	じゃあ、どういう事だ？\nデーモンが、集会でも開いているのかなぁ。	Then what's going on?\nAre the demons holding some kind\nof meeting?
0x24386	0x1e	レイナ	・・・・・んんっ！\n北の空にある雲を見て。\n何か変ねぇ？	Look at those clouds in the\nnorthern sky. Something's off,\ndon't you think?
0x24386	0x7e	ライド	・・・・・光ったな。\nありゃ、雷雲だぁ。\nこんな昼間っから、夕立かな？	...That flashed. Those are\nstorm clouds. A bit early for\nan evening shower, isn't it?
0x24386	0xca	レイナ	・・・違うわ！\nあれは、魔法の雲。\n北で、誰かが戦ってるのよ。\n行ってみましょう。	...No! Those are magic clouds.\nSomeone is fighting up north.\nLet's go take a look.
0x24386	0x11d	レイナ	何がおこっているのか、確かめたいわ。早く、行きましょう。	I want to see what's going on.\nQuick, let's go.
0x24386	0x16c	ファーニス	ああっ！\n森の奥が、赤く光ったよ。\n何かあったのかなぁ？	Ah! The depths of the forest\nflashed red. I wonder what\nhappened?
0x24386	0x1a6	レイナ	炎球の呪文を使ったんだわ。\n森の北の方に、魔導士がいる様ね。\n行ってみましょう。	Someone cast a fireball spell.\nLooks like there's a mage to\nthe north of the forest.\nLet's go take a look.
0x24386	0x202	ファーニス	いったい、誰が戦ってるんだろ？	Just who is it that's fighting?
0x24386	0x226	レイナ	旅人が、魔物に襲われているのかしら。	Maybe a traveler is being\nattacked by monsters.
0x24386	0x25a	ファーニス	近いよ！\n鍔迫り合いの音がする。	We're close! I hear blades\nclashing together.
0x24386	0x286	レイナ	魔物相手じゃなさそうね。	That doesn't sound like a fight\nwith monsters.
0x24386	0x2ad	ファーニス	わあぁぁぁっ！\n大っきな水晶。\nこれ１つで、指輪いくつぐらい出来るのかなぁ。	Whoaaa! A giant crystal.\nHow many rings could you make\nout of just this one?
0x24386	0x2ef	ウォーリック	これが水晶の角だな。\n幸い、キメラは留守の様だな。\n早いとこ取って帰ろう。\nウォーリック\nファーニス。\n・・・キメラが来るか見張っててくれ。	So this is the crystal horn.\nLucky for us, the {CHIMERA} is\nout. Let's grab it and go.\p{WARRICK}\n{FURNIS}. ...Keep watch in case\nthe {CHIMERA} comes.
0x24386	0x35c	ファーニス	あらら・・・ウォーリック。\n世の中、うまくはいかないね。	Uh oh... {WARRICK}.\nLife never goes the easy way.
0x24386	0x392	ウォーリック	えっ！？	Huh?!
0x24386	0x3a5	ファーニス	ほらっ、見て。\n北に方角から、何か飛んで来るよ。\nどんどん近づいて来る。	Look, over there.\nSomething's flying in from the north.\nIt's getting closer fast.
0x24386	0x3f8	ウォーリック	へへっ！\nキメラなんか、楽勝だったな。	Heh!\nThat {CHIMERA} was a pushover.
0x24386	0x421	レイナ	何、言ってんのよ。\nちょっと、危なかったじゃない。\n早く水晶の角を取って、ゼロ船長に渡しましょ。	What are you talking about?\nThat was a close call.\nGrab the {CRYSTAL HORN} and let's\nget it to {CAPTAIN ZERO}.
0x24386	0x475		水晶の角を取った。	Got the {CRYSTAL HORN}.
0x24386	0x4a2	ウォーリック	さあ、ゼロ船長の所に戻ろう。	Right, let's head back to\n{CAPTAIN ZERO}.
0x24386	0x4bf		カナメイ婆さん\nこの家の２階には、私の息子夫婦が住んでいたんだ。\n息子は城の近衛隊で、嫁は神官だった。\nカナメイ婆さん\n・・・・・そう。\n２人共、もう城からは帰って来ないんだ。	Granny Kanamei\nMy son and his wife lived\nupstairs in this house.\nHe served in the castle guard,\nshe was a priestess.\n\pGranny Kanamei\n...Yes.\nNeither of them ever came\nhome from the castle again.
0x24386	0x54a		カナメイ婆さん\n２階に行く度、私の息子夫婦の事を思い出すよ。\n２人共、城で死んだ。\nカナメイ婆さん\nもうすぐ、孫の顔が見れると思ったのに。私の幸せを奪った魔物共が憎い。	Granny Kanamei\nEvery time I go upstairs I think\nof my son and his wife.\nThey both died at the castle.\n\pGranny Kanamei\nI was so close to seeing my\ngrandchild's face. I hate the\nmonsters that stole my joy.
0x24386	0x5ca		カナメイ婆さん\n私はこれから、２人の分まで、長生きするよ。\n息子夫婦の冥福を祈って生涯をおくるつもりだ。	Granny Kanamei\nFrom now on I'll live long\nenough for the two of them too.\nI'll spend my days praying for\ntheir souls to rest.
0x24386	0x624	セシリア	洞窟を出てしまいましたよ。\n警備隊の人達を見殺しにする気ですか、ウォーリック。\n戻った方が、良いのでは？	We've left the cave.\nDo you mean to let the guards\ndie, {WARRICK}?\nWouldn't it be better to go back?
0x24386	0x680	ウォーリック	そうだな。\n加勢に行った方がよさそうだ。	You're right.\nWe'd best go lend a hand.
0x24855	0x26	ウォーリック	何だ、このデカい扉は？\n遺跡の後かなぁ。	What's this huge door?\nMaybe it's some kind of ruin.
0x24855	0x59	ライド	ちょっと押してみるか。\nウォーリック、ナッツ・・・・・手を貸してくれ。	Let's try pushing it.\n{WARRICK}, {NUTTS}.{...}.\nLend me a hand.
0x24855	0xa0	ライド	・・・せぇぇぇのっ！\nうりゃ。	...heeeeave!\nHrrgh.
0x24855	0xcf	ウォーリック	・・・・・・・・だめだっ。\n内側から、鍵でも掛かってるのか。\nびくともしない。	.{...}....No good.\nMust be locked from the inside.\nIt won't budge an inch.
0x24855	0x113	レイナ	開きそうにないわね。\nここって、ドワーフの国じゃないのかしら。\nもっと、違う所を探してみましょう。	Doesn't seem like it'll open.\nIsn't this the {DWARF} kingdom?\nLet's look somewhere else.
0x24855	0x15a	ウォーリック	やっぱり開かない。\n他の所をまわってみよう。	Still won't open.\nLet's try somewhere else.
0x24855	0x187	ウォーリック	やっぱり、開かない。\nここにドワーフ達が非難してると思ったんだがな。	Still won't open.\nI thought the dwarves had taken\nrefuge in here.
0x24855	0x1bf	ライド	ドワーフはめったに死なないが、心配だな。\nもう１回、廃キョに戻って調べてみようぜ。	Dwarves rarely die, but I'm worried.\nLet's head back to the ruins\nand search once more.
0x24855	0x201	ウォーリック	ここが、ドワーフの先祖の地の入口だな。\nちゃんと開くかな？	So this is the entrance to the\ndwarves' ancestral land.\nWill it open, I wonder?
0x24855	0x24d	ファーニス	薬草の匂いはするけど、見あたらないねぇ。\nあっ、薬草を取った跡がある。	I smell herbs, but I can't see any.\nAh, there's a spot where some\nwere picked.
0x24855	0x28c	ファーニス	あそこの根本に、薬草を取った跡があるよ。\nこんな所に、薬草取りに来る人いるのかなぁ。	There's a spot at the base over\nthere where herbs were picked.\nWho'd come all the way out here\nto gather herbs?
0x24855	0x2d6	ファーニス	この森、薬草が全然ないね。\nいっぱいありそうなのに、取られちゃったんだね。	This forest has no herbs at all.\nLooks like there'd be tons,\nbut they've all been taken.
0x24855	0x317	ファーニス	この森、なんか人の気配があるよ。\nそれも、人間じゃない。\nドワーフかなぁ。	There's someone in this forest.\nAnd not a human, either.\nDwarves, maybe.
0x24855	0x362	レイナ	ライランドに戻った方がいいわ、ウォーリック。\nここから先は、人跡未踏の地だからね。	We should head back to Ryland,\n{WARRICK}. Past this point lies\nland no soul has ever walked.
0x24855	0x39f	ウォーリック	そうだな。\nもう、人間の領域じゃないから、慎重に行動した方がいいな。	You're right.\nThis is no longer human ground,\nso we'd best tread carefully.
0x24855	0x3e1	ウォーリック	さあっ。\nここから先は、人跡未踏の地だ。\n何が起るか解らないから、気を付けろっ！	Right, then.\nBeyond here is untrodden land.\nNo telling what may happen, so\nstay sharp!
0x24855	0x42c	ファーニス	森ならまかせて。\n絶対に迷わないから。	Leave the forest to me.\nI'll never lead us astray.
0x24855	0x44f	ウォーリック	頼むぞっ、ファーニス。	I'm counting on you, {FURNIS}.
0x24855	0x46c	レイナ	おかえりなさい、ウォーリック。	Welcome back, {WARRICK}.
0x24855	0x48b	ウォーリック	ただいま、レイナ。\nウォーリック\n・・・・・ほらっ。\nもらって来たぜ、守護騎士の３鎧７。	I'm home, {REINA}.\n{WARRICK}\n{...}..Here.\nBrought it back -- the\nGuardian's armor.
0x24855	0x4d0	ファーニス	わぁぁぁぁぁっ。\nカッコいい３鎧７だねぇ。\n・・・・・でも、金色じゃないよ。	Whoaaaa!\nWhat cool armor!\n{...}..But it isn't golden.
0x24855	0x513	ウォーリック	ああ、そうなんだよ。\nアトォムは、魂のカケラとか言ってたけど・・・。\nどういう意味だ、セス？	Yeah, that's right.\n{ATOM} said something about a\nsoul fragment, but...\nWhat's that mean, {SETH}?
0x24855	0x570	セス	その３鎧７、そのままでは普通の３鎧７なの。守護騎士の３鎧７の力は発揮出来ないわ。力を発動させるには、竜の魂を入れてもらう必要があるのよ。\nセス\n私が着ている３鎧７の首元に、水晶球が入っているでしょ。\nその中に、青白い炎があるの。\n・・・見える？	That armor as it is now is just\nordinary armor. It can't show\nthe power of the Guardian's\narmor. To awaken it, you must\nhave a dragon's soul placed in.\n{SETH}\nSee the crystal at the collar\nof the armor I wear?\nInside it is a pale blue flame.\n...Can you see it?
0x24855	0x62d	ウォーリック	・・・・・うんっ、見える。\n青白い炎が、チロチロ動いてるぞ。	{...}..Yeah, I see it.\nA pale blue flame, flickering\nback and forth.
0x24855	0x668	セス	これが魂のカケラよ。\nこの３鎧７・・・言わば、パディッシュ様の分身ね。\nセス\n３鎧７に限らず、どのパーツにも水晶球が付いていて、絶えず力を与えてくれるわ。\nもちろん、神竜の３鎧７もね。	This is a soul fragment.\nThis armor... a piece of\nLady {PADDISH} herself.\p{SETH}\nNot just the armor -- every part\nholds a crystal that feeds it\npower, without end.\nThe {DIVINE DRAGON} armor too.
0x24855	0x6f5	ウォーリック	ふぅぅぅん。\n面白い仕組みになってるんだなぁ。	Hmmm.\nWhat a clever bit of work.
0x24855	0x725	セス	それに、もしマスターの竜が死んでも、守護騎士本人が生きている限り、３鎧７は生き続けるの。\nその使命がある限り、３鎧７は不滅よ。	And even if the master dragon dies,\nso long as the guardian lives on,\nthe armor lives too.\nWhile its duty remains,\nthe armor cannot perish.
0x24855	0x780	ウォーリック	凄いなぁ。\nじゃあ次は、この３鎧７にその魂のカケラを入れてもらうんだな。	Amazing.\nSo next, we get this armor\nfilled with that soul fragment.
0x24855	0x7c0	セス	その通り。\nさぁ、早くメーフィス様の所に戻りましょう。	Exactly.\nNow, let's hurry back to\nLord {MEPHIS}.
0x24dcc	0x15		ブレスト　アーマー\nよぉ、ウォーリック。\n久しぶりだなぁ。\n・・・俺の事・・・覚えているかい？	Breast {ARMOR}\nHey there, {WARRICK}.\nLong time no see.\n...You remember me, don't you?
0x24dcc	0x63	ウォーリック	・・・ああ、覚えているとも。\nその胸の傷、その肩のへこみ。\n忘れるものか。\n３年前、俺が着ていた３鎧７だ。	...Yeah, of course I do.\nThat gash on your chest, that dent\nin your shoulder. How could I forget?\nThree years back, you were my armor.
0x24dcc	0xb8		ブレスト　アーマー\n覚えていてくれて嬉しいぜ、ウォーリック。まぁ、手のパーツは借り物だが、正真正銘、俺はお前の３鎧７だ。	Breast {ARMOR}\nGlad you remember, {WARRICK}.\nThe hand parts are borrowed, sure,\nbut make no mistake, I'm your armor.
0x24dcc	0x108	ウォーリック	・・・そうだ。\n賞金稼ぎだった俺は、生活に困って、お前を売ってしまったんだ。	...That's right.\nBack when I was a bounty hunter,\nI was so broke I sold you off.
0x24dcc	0x14b		ブレスト　アーマー\nそんな事、気にするなって。\nあの時は、仕方なかったんだ。\n・・・お前は悪くないぜ、ウォーリック。\nブレスト　アーマー\n実際の話、俺は売られてホッとしたんだよ。	Breast {ARMOR}\nDon't sweat it.\nYou had no choice back then.\n...It wasn't your fault, {WARRICK}.\pBREAST {ARMOR}\nTruth is, I was relieved to be sold.
0x24dcc	0x1c0	ウォーリック	えっ？\n・・・どういう事だ。	What?\n...What do you mean?
0x24dcc	0x1eb		ブレスト　アーマー\n当時、俺達は無茶な事をしてたなぁ。\n毎日毎日、魔物と戦って・・・剣技会にも出たっけ。\nその度に、お前は力を付けていった。\nブレスト　アーマー\n俺も、頑張ったんだがなぁ。\n・・・・・わかったんだよ。\n限界が、見えたんだよ。\nブレスト　アーマー\nお前は俺を、完全に着こなしてる。\nお前が必要とする力を、俺は貸してあげられないって。	Breast {ARMOR}\nBack then, we pushed ourselves too\nhard.\nEvery single day, fighting\nmonsters...\neven the sword tourneys.\nEach time, you grew stronger.\pBREAST {ARMOR}\nI tried my best too, but...\n{...}..I came to see it.\nI saw my own limits.\pBREAST {ARMOR}\nYou've completely outgrown me.\nThe power you need now, I just\ncan't lend it to you anymore.
0x24dcc	0x2e7	ウォーリック	そっ、そんな事ない。\nそんな事ないぞ、ブレスト　アーマー。	That's not true.\nThat's just not true, Breast {ARMOR}.
0x24dcc	0x31d		ブレスト　アーマー\nあの時、一緒にいたショート　ソードも、同じ事を考えていたんだぜ。\nお前の役に立てない事が、俺達には辛かった。	Breast {ARMOR}\nThe Short {SWORD} that was with us\nback then felt the very same way.\nIt pained us both to be of no use to\nyou.
0x24dcc	0x377	ウォーリック	・・・・・ブレスト　アーマー。	......Breast Armor.
